"IDAr_Couleur","Couleur","Etat","Code","TypeVisuel","IDSupportArCouleur","Couleur_AN","NumInterne","Commentaires","IDAr_TypeMotif","RVB_Hex","Reference","MotifCouleur"
2099,STRIPES,1,"2099","",0,"",0,,0,"","",
2100,BLANC/NAVY,1,"2100","",0,"",0,,0,"","",
2101,PRINT LANDES,1,"2101","",0,"",0,,0,"","",
2102,ECRU NAVY,1,"2102","",0,"",0,,0,"","",
2103,LEOPARD JACQUARD,1,"2103","",0,"",0,,0,"","",
2104,PRINT TOKYO,1,"2104","",0,"",0,,0,"","",
2105,PRINT LOUNA,1,"2105","",0,"",0,,0,"","",
2106,PRINT LIZEA,1,"2106","",0,"",0,,0,"","",
2107,LUREX,1,"2107","",0,"",0,,0,"","",
2108,PRINT INESI,1,"2108","",0,"",0,,0,"","",
2109,LABOHINA,1,"2109","",0,"",0,,0,"","",
2110,MARINE STRIPES,1,"2110","",0,"",0,,0,"","",
2111,DIVA,1,"2111","",0,"",0,,0,"","",
2112,NOIR STRIPES,1,"2112","",0,"",0,,0,"","",
2113,IMPRIME FEUILLE OR,1,"2113","",0,"",0,,0,"","",
2114,NOIR TWEED,1,"2114","",0,"",0,,0,"","",
2115,LEOPARD,1,"2115","",0,"",0,,0,"","",
2116,JACQUARD JOE,1,"2116","",0,"",0,,0,"","",
2117,ROSE PALE,1,"2117","",0,"",0,,0,"","",
2118,STRIPE,1,"2118","",0,"",0,,0,"","",
2119,ECRU/NAVY,1,"2119","",0,"",0,,0,"","",
2120,PRINT COREO,1,"2120","",0,"",0,,0,"","",
2121,RAYE BLANC/GRIS BLEUTE,1,"2121","",0,"",0,,0,"","",
2122,CARREAUX,1,"2122","",0,"",0,,0,"","",
2123,VERT OPALI,1,"2123","",0,"",0,,0,"","",
2124,BLEU DELAVE,1,"5214","",0,"",0,,0,"","",
2125,IMPRIME CREME ,1,"8514","",0,"",0,,0,"","",
2126,FLEUR AMERICAIN ,1,"5241","",0,"",0,,0,"","",
2127,KECHMARA,1,"8521","",0,"",0,,0,"","",
2128,BLEU/NOIR,1,"6661","",0,"",0,,0,"","",
2129,BLE ,1,"6664","",0,"",0,,0,"","",
2130,fleuri vert,1,"5521","",0,"",0,,0,"","",
2131,IMPRIME MOUTARDE,1,"9851","",0,"",0,,0,"","",
2132,lurex semon,1,"8536","",0,"",0,,0,"","",
2133,NOIR/MARRON,1,"5124","",0,"",0,,0,"","",
2134,VERT/NOIR,1,"9412","",0,"",0,,0,"","",
2135,FLEURI ROSE,1,"7182","",0,"",0,,0,"","",
2136,ORANGER/ECRU,1,"9172","",0,"",0,,0,"","",
2137,PETALE,1,U001,"",1,NUDE,1,,0,#00BFC0F7,"",
2138,LAVIS,1,I001,"",2,"",1,,0,#00C7E1B8,"",
2139,test test,1,U002,"",1,"",2,,0,#00D710D5,"",
2140,ANDALOUSE,1,I002,"",2,"",2,,0,#00,"",
2141,OLIVIER,1,U003,VERT OLIVE,1,"",3,,0,#005B8C7B,"",
2142,CHARCOAL,1,U004,NOIR,1,CHARCOAL,4,,0,"19-0201 TCX","",
2143,CLOWDY,1,I003,MULTI COLOR ROSE,2,"",3,,0,#00,"",
2144,CHARCOAL NOIR,1,U005,"",1,CHARCOAL BLACK,5,,0,"19-0201","",
2145,NOIR CHARCOAL,1,U006,"",1,"",6,,0,"19-0201","",
2146,print lisa,1,I004,"",2,"",4,,0,"","",
2147,PRINT NOUR ,1,I005,"",2,"",5,,0,"","",
2148,ROSE CLAIR,1,"007",JACQUARD,-1,"",7,,0,#00E0E0FD,"",
2149,VERT DUR ,1,U007,"",1,"",7,,0,"378661","",
2150,ROSE PONDI,1,U008,"",1,"",8,,0,D2386C,"",
2151,ZESTE,1,U009,"",1,"",9,,0,"89A06B","",
2152,ROUGE B,1,"010","",0,"",10,,0,D93744,"",
2153,BLEU LAGON,1,"011","",0,"",11,,0,D93744,"",
2154,BLEU MAJORETTE,1,"012","",0,"",12,,0,"4A5FA5","",
2155,COBALT,1,"013","",0,"",13,,0,#005F393A,"",
2156,GUM,1,U010,"",1,"",10,,0,#009E7AED,"",
2157,AURORE,1,U011,"",1,"",11,,0,#0070BFF1,"",
2158,SEPIA,1,U012,"",1,"",12,,0,"","",
2159,Tweed,1,"014","",0,"",14,,0,"","",
2160,PIVOINE ,1,"015","",0,"",15,,0,"","",
2161,CHAMPAGNE TIE AND DYE,1,"016","",0,"",16,,0,"","",
2162,BEIGE/NAVY,1,"017","",0,"",17,,0,"","",
2163,vanille/NOIR,1,"018","",0,"",18,,0,"","",
2164,BORDEAU/BLEU,1,"019","",0,"",19,,0,"","",
2165,IMPRIME BLEU,1,"020","",0,"",20,,0,"","",
2166,IMPRIME MAUVE ,1,"021","",0,"",21,,0,"","",
2167,BLEU/VERT,1,"022","",0,"",22,,0,"","",
2168,FLEURI BLEU,1,"023","",0,"",23,,0,"","",
2169,IMPRIME CORAIL,1,"024","",0,"",24,,0,"","",
2170,IMPRIME ETNI,1,"025","",0,"",25,,0,"","",
2171,IMPRIME ETHNIQUE,1,"026","",0,"",26,,0,"","",
2172,ROSE FUSCHIA,1,"027","",0,"",27,,0,"","",
2173,IMPRIME DITSY,1,"028","",0,"",28,,0,"","",
2174,vitrage bleu,1,"029","",0,"",29,,0,"","",
2175,ROSE FUSHIA,1,"030","",0,"",30,,0,"","",
2176,NOIR/BEIGE,1,"031","",0,"",31,,0,"","",
2177,POIS NAVY/BLANC,1,I006,"",2,"",6,,0,"","",
2178,MAGNOLIA,1,"032","",0,"",32,,0,"","",
2179,pink factory,1,U013,"",1,"",13,,0,"","",
2180,JACQUARD VIOLET FLEURS ,1,J001,"",3,"",1,,0,"","",
2181,BORDEAUX/ECRU,1,U014,"",1,"",14,,0,"","",
2182,IMPRIME MEXICO,1,"033","",0,"",33,,0,"","",
2183,IMPRIME MARSEILLE ,1,"034","",0,"",34,,0,"","",
2184,IMPRIME BOHEMIAN,1,"035","",0,"",35,,0,"","",
2185,IMPRIME BLONDIE,1,"036","",0,"",36,,0,"","",
2186,NOIR ACIDE,1,"037","",0,"",37,,0,"","",
2187,CONTRASTE,1,"038","",0,"",38,,0,"","",
2188,JAUNE/AMANDE,1,"039","",0,"",39,,0,"","",
2189,JAUNE/NOIR,1,"9901","",0,"",40,,0,"","",
2190,ROSE/VERT,1,"9903","",0,"",41,,0,"","",
2191,BLEU VIOLET,1,"042","",0,"",42,,0,"","",
2192,IMPRIME BILLES,1,"043","",0,"",43,,0,"","",
2193,IMPRIME CUBANA,1,"044","",0,"",44,,0,"","",
2194,IMPRIME TOPAZE,1,"045","",0,"",45,,0,"","",
2195,BYZANCE,1,"046","",0,"",46,,0,"","",
2198,DENIM BLEU WASHED ,1,"047","",0,"",47,,0,"","",
2199,Print LAMBELLIE,1,"048","",0,"",48,,0,"","",
2200,"",1,"","",0,"",0,,0,"","",
2201,"",1,"","",0,"",0,,0,"","",
2202,"",1,"","",0,"",0,,0,"","",
2203,"",1,"","",0,"",0,,0,"","",
2204,"",1,"","",0,"",0,,0,"","",
2205,"",1,"","",0,"",0,,0,"","",
2206,"",1,"","",0,"",0,,0,"","",
2207,"",1,"","",0,"",0,,0,"","",
2208,"",1,"","",0,"",0,,0,"","",
2209,"",1,"","",0,"",0,,0,"","",
2210,"",1,"","",0,"",0,,0,"","",
2211,"",1,"","",0,"",0,,0,"","",
2212,"",1,"","",0,"",0,,0,"","",
2213,"",1,"","",0,"",0,,0,"","",
2214,"",1,"","",0,"",0,,0,"","",
2215,"",1,"","",0,"",0,,0,"","",
2216,"",1,"","",0,"",0,,0,"","",
2217,"",1,"","",0,"",0,,0,"","",
2218,"",1,"","",0,"",0,,0,"","",
2219,"",1,"","",0,"",0,,0,"","",
2220,"",1,"","",0,"",0,,0,"","",
2221,"",1,"","",0,"",0,,0,"","",
2222,"",1,"","",0,"",0,,0,"","",
2223,"",1,"","",0,"",0,,0,"","",
2224,"",1,"","",0,"",0,,0,"","",
2225,"",1,"","",0,"",0,,0,"","",
2226,"",1,"","",0,"",0,,0,"","",
2227,"",1,"","",0,"",0,,0,"","",
2228,"",1,"","",0,"",0,,0,"","",
2229,"",1,"","",0,"",0,,0,"","",
2230,"",1,"","",0,"",0,,0,"","",
2231,"",1,"","",0,"",0,,0,"","",
2232,"",1,"","",0,"",0,,0,"","",
2233,"",1,"","",0,"",0,,0,"","",
2234,"",1,"","",0,"",0,,0,"","",
2235,"",1,"","",0,"",0,,0,"","",
2236,"",1,"","",0,"",0,,0,"","",
2237,"",1,"","",0,"",0,,0,"","",
2238,"",1,"","",0,"",0,,0,"","",
2239,"",1,"","",0,"",0,,0,"","",
2240,"",1,"","",0,"",0,,0,"","",
2241,"",1,"","",0,"",0,,0,"","",
2242,"",1,"","",0,"",0,,0,"","",
2243,"",1,"","",0,"",0,,0,"","",
2244,"",1,"","",0,"",0,,0,"","",
2245,"",1,"","",0,"",0,,0,"","",
2246,"",1,"","",0,"",0,,0,"","",
2247,"",1,"","",0,"",0,,0,"","",
2248,"",1,"","",0,"",0,,0,"","",
2249,"",1,"","",0,"",0,,0,"","",
2250,"",1,"","",0,"",0,,0,"","",
2251,"",1,"","",0,"",0,,0,"","",
2252,"",1,"","",0,"",0,,0,"","",
2253,"",1,"","",0,"",0,,0,"","",
2254,"",1,"","",0,"",0,,0,"","",
2255,"",1,"","",0,"",0,,0,"","",
2256,"",1,"","",0,"",0,,0,"","",
2257,"",1,"","",0,"",0,,0,"","",
2258,"",1,"","",0,"",0,,0,"","",
2259,"",1,"","",0,"",0,,0,"","",
2260,"",1,"","",0,"",0,,0,"","",
2261,"",1,"","",0,"",0,,0,"","",
2262,"",1,"","",0,"",0,,0,"","",
2263,"",1,"","",0,"",0,,0,"","",
2264,"",1,"","",0,"",0,,0,"","",
2265,"",1,"","",0,"",0,,0,"","",
2266,"",1,"","",0,"",0,,0,"","",
2267,"",1,"","",0,"",0,,0,"","",
2268,"",1,"","",0,"",0,,0,"","",
2269,"",1,"","",0,"",0,,0,"","",
2270,"",1,"","",0,"",0,,0,"","",
2271,"",1,"","",0,"",0,,0,"","",
2272,"",1,"","",0,"",0,,0,"","",
2273,"",1,"","",0,"",0,,0,"","",
2274,"",1,"","",0,"",0,,0,"","",
2275,"",1,"","",0,"",0,,0,"","",
2276,"",1,"","",0,"",0,,0,"","",
2277,"",1,"","",0,"",0,,0,"","",
2278,"",1,"","",0,"",0,,0,"","",
2279,"",1,"","",0,"",0,,0,"","",
2280,"",1,"","",0,"",0,,0,"","",
2281,"",1,"","",0,"",0,,0,"","",
2282,"",1,"","",0,"",0,,0,"","",
2283,"",1,"","",0,"",0,,0,"","",
2284,"",1,"","",0,"",0,,0,"","",
2285,"",1,"","",0,"",0,,0,"","",
2286,"",1,"","",0,"",0,,0,"","",
2287,"",1,"","",0,"",0,,0,"","",
2288,"",1,"","",0,"",0,,0,"","",
2289,"",1,"","",0,"",0,,0,"","",
2290,"",1,"","",0,"",0,,0,"","",
2291,"",1,"","",0,"",0,,0,"","",
2292,"",1,"","",0,"",0,,0,"","",
2293,"",1,"","",0,"",0,,0,"","",
2294,"",1,"","",0,"",0,,0,"","",
2295,"",1,"","",0,"",0,,0,"","",
2296,"",1,"","",0,"",0,,0,"","",
2297,"",1,"","",0,"",0,,0,"","",
2298,"",1,"","",0,"",0,,0,"","",
2299,"",1,"","",0,"",0,,0,"","",
2300,"",1,"","",0,"",0,,0,"","",
2301,"",1,"","",0,"",0,,0,"","",
2302,"",1,"","",0,"",0,,0,"","",
2303,"",1,"","",0,"",0,,0,"","",
2304,"",1,"","",0,"",0,,0,"","",
2305,"",1,"","",0,"",0,,0,"","",
2306,"",1,"","",0,"",0,,0,"","",
2307,"",1,"","",0,"",0,,0,"","",
2308,"",1,"","",0,"",0,,0,"","",
2309,"",1,"","",0,"",0,,0,"","",
2310,"",1,"","",0,"",0,,0,"","",
2311,"",1,"","",0,"",0,,0,"","",
2312,"",1,"","",0,"",0,,0,"","",
2313,"",1,"","",0,"",0,,0,"","",
2314,"",1,"","",0,"",0,,0,"","",
2315,"",1,"","",0,"",0,,0,"","",
2316,"",1,"","",0,"",0,,0,"","",
2317,"",1,"","",0,"",0,,0,"","",
2318,"",1,"","",0,"",0,,0,"","",
2319,"",1,"","",0,"",0,,0,"","",
2320,"",1,"","",0,"",0,,0,"","",
2321,"",1,"","",0,"",0,,0,"","",
2322,"",1,"","",0,"",0,,0,"","",
2323,"",1,"","",0,"",0,,0,"","",
2324,"",1,"","",0,"",0,,0,"","",
2325,"",1,"","",0,"",0,,0,"","",
2326,"",1,"","",0,"",0,,0,"","",
2327,"",1,"","",0,"",0,,0,"","",
2328,"",1,"","",0,"",0,,0,"","",
2329,"",1,"","",0,"",0,,0,"","",
2330,"",1,"","",0,"",0,,0,"","",
2331,"",1,"","",0,"",0,,0,"","",
2332,"",1,"","",0,"",0,,0,"","",
2333,"",1,"","",0,"",0,,0,"","",
2334,"",1,"","",0,"",0,,0,"","",
2335,"",1,"","",0,"",0,,0,"","",
2336,"",1,"","",0,"",0,,0,"","",
2337,"",1,"","",0,"",0,,0,"","",
2338,"",1,"","",0,"",0,,0,"","",
2339,"",1,"","",0,"",0,,0,"","",
2340,"",1,"","",0,"",0,,0,"","",
2341,"",1,"","",0,"",0,,0,"","",
2342,"",1,"","",0,"",0,,0,"","",
2343,"",1,"","",0,"",0,,0,"","",
2344,"",1,"","",0,"",0,,0,"","",
2345,"",1,"","",0,"",0,,0,"","",
2346,"",1,"","",0,"",0,,0,"","",
2347,"",1,"","",0,"",0,,0,"","",
2348,"",1,"","",0,"",0,,0,"","",
2349,"",1,"","",0,"",0,,0,"","",
2350,"",1,"","",0,"",0,,0,"","",
2351,"",1,"","",0,"",0,,0,"","",
2352,"",1,"","",0,"",0,,0,"","",
2353,"",1,"","",0,"",0,,0,"","",
2354,"",1,"","",0,"",0,,0,"","",
2355,"",1,"","",0,"",0,,0,"","",
2356,"",1,"","",0,"",0,,0,"","",
2357,"",1,"","",0,"",0,,0,"","",
2358,"",1,"","",0,"",0,,0,"","",
2359,"",1,"","",0,"",0,,0,"","",
2360,"",1,"","",0,"",0,,0,"","",
2361,"",1,"","",0,"",0,,0,"","",
2362,"",1,"","",0,"",0,,0,"","",
2363,"",1,"","",0,"",0,,0,"","",
2364,"",1,"","",0,"",0,,0,"","",
2365,"",1,"","",0,"",0,,0,"","",
2366,"",1,"","",0,"",0,,0,"","",
2367,"",1,"","",0,"",0,,0,"","",
2368,"",1,"","",0,"",0,,0,"","",
2369,"",1,"","",0,"",0,,0,"","",
2370,"",1,"","",0,"",0,,0,"","",
2371,"",1,"","",0,"",0,,0,"","",
2372,"",1,"","",0,"",0,,0,"","",
2373,"",1,"","",0,"",0,,0,"","",
2374,"",1,"","",0,"",0,,0,"","",
2375,"",1,"","",0,"",0,,0,"","",
2376,"",1,"","",0,"",0,,0,"","",
2377,"",1,"","",0,"",0,,0,"","",
2378,"",1,"","",0,"",0,,0,"","",
2379,"",1,"","",0,"",0,,0,"","",
2380,"",1,"","",0,"",0,,0,"","",
2381,"",1,"","",0,"",0,,0,"","",
2382,"",1,"","",0,"",0,,0,"","",
2383,"",1,"","",0,"",0,,0,"","",
2384,"",1,"","",0,"",0,,0,"","",
2385,"",1,"","",0,"",0,,0,"","",
2386,"",1,"","",0,"",0,,0,"","",
2387,"",1,"","",0,"",0,,0,"","",
2388,"",1,"","",0,"",0,,0,"","",
2389,"",1,"","",0,"",0,,0,"","",
2390,"",1,"","",0,"",0,,0,"","",
2391,"",1,"","",0,"",0,,0,"","",
2392,"",1,"","",0,"",0,,0,"","",
2393,"",1,"","",0,"",0,,0,"","",
2394,"",1,"","",0,"",0,,0,"","",
2395,"",1,"","",0,"",0,,0,"","",
2396,"",1,"","",0,"",0,,0,"","",
2397,"",1,"","",0,"",0,,0,"","",
2398,"",1,"","",0,"",0,,0,"","",
2399,"",1,"","",0,"",0,,0,"","",
2400,"",1,"","",0,"",0,,0,"","",
2401,"",1,"","",0,"",0,,0,"","",
2402,"",1,"","",0,"",0,,0,"","",
2403,"",1,"","",0,"",0,,0,"","",
2404,"",1,"","",0,"",0,,0,"","",
2405,"",1,"","",0,"",0,,0,"","",
2406,"",1,"","",0,"",0,,0,"","",
2407,"",1,"","",0,"",0,,0,"","",
2408,"",1,"","",0,"",0,,0,"","",
2409,"",1,"","",0,"",0,,0,"","",
2410,"",1,"","",0,"",0,,0,"","",
2411,"",1,"","",0,"",0,,0,"","",
2412,"",1,"","",0,"",0,,0,"","",
2413,"",1,"","",0,"",0,,0,"","",
2414,"",1,"","",0,"",0,,0,"","",
2415,"",1,"","",0,"",0,,0,"","",
2416,"",1,"","",0,"",0,,0,"","",
2417,"",1,"","",0,"",0,,0,"","",
2418,"",1,"","",0,"",0,,0,"","",
2419,"",1,"","",0,"",0,,0,"","",
2420,"",1,"","",0,"",0,,0,"","",
2421,"",1,"","",0,"",0,,0,"","",
2422,"",1,"","",0,"",0,,0,"","",
2423,"",1,"","",0,"",0,,0,"","",
2424,"",1,"","",0,"",0,,0,"","",
2425,"",1,"","",0,"",0,,0,"","",
2426,"",1,"","",0,"",0,,0,"","",
2427,"",1,"","",0,"",0,,0,"","",
2428,"",1,"","",0,"",0,,0,"","",
2429,"",1,"","",0,"",0,,0,"","",
2430,"",1,"","",0,"",0,,0,"","",
2431,"",1,"","",0,"",0,,0,"","",
2432,"",1,"","",0,"",0,,0,"","",
2433,"",1,"","",0,"",0,,0,"","",
2434,"",1,"","",0,"",0,,0,"","",
2435,"",1,"","",0,"",0,,0,"","",
2436,"",1,"","",0,"",0,,0,"","",
2437,"",1,"","",0,"",0,,0,"","",
2438,"",1,"","",0,"",0,,0,"","",
2439,"",1,"","",0,"",0,,0,"","",
2440,"",1,"","",0,"",0,,0,"","",
2441,"",1,"","",0,"",0,,0,"","",
2442,"",1,"","",0,"",0,,0,"","",
2443,"",1,"","",0,"",0,,0,"","",
2444,"",1,"","",0,"",0,,0,"","",
2445,"",1,"","",0,"",0,,0,"","",
2446,"",1,"","",0,"",0,,0,"","",
2447,"",1,"","",0,"",0,,0,"","",
2448,"",1,"","",0,"",0,,0,"","",
2449,"",1,"","",0,"",0,,0,"","",
2450,"",1,"","",0,"",0,,0,"","",
2451,"",1,"","",0,"",0,,0,"","",
2452,"",1,"","",0,"",0,,0,"","",
2453,"",1,"","",0,"",0,,0,"","",
2454,"",1,"","",0,"",0,,0,"","",
2455,"",1,"","",0,"",0,,0,"","",
2456,"",1,"","",0,"",0,,0,"","",
2457,"",1,"","",0,"",0,,0,"","",
2458,"",1,"","",0,"",0,,0,"","",
2459,"",1,"","",0,"",0,,0,"","",
2460,"",1,"","",0,"",0,,0,"","",
2461,"",1,"","",0,"",0,,0,"","",
2462,"",1,"","",0,"",0,,0,"","",
2463,"",1,"","",0,"",0,,0,"","",
2464,"",1,"","",0,"",0,,0,"","",
2465,"",1,"","",0,"",0,,0,"","",
2466,"",1,"","",0,"",0,,0,"","",
2467,"",1,"","",0,"",0,,0,"","",
2468,"",1,"","",0,"",0,,0,"","",
2469,"",1,"","",0,"",0,,0,"","",
2470,"",1,"","",0,"",0,,0,"","",
2471,"",1,"","",0,"",0,,0,"","",
2472,"",1,"","",0,"",0,,0,"","",
2473,"",1,"","",0,"",0,,0,"","",
2474,"",1,"","",0,"",0,,0,"","",
2475,"",1,"","",0,"",0,,0,"","",
2476,"",1,"","",0,"",0,,0,"","",
2477,"",1,"","",0,"",0,,0,"","",
